"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","STREET_NAME","NEIGHBOURHOOD","full_address","lat","lon"
"1","Other Theft",2013,9,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"2","Other Theft",2013,8,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"3","Other Theft",2013,6,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"4","Other Theft",2013,5,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"5","Other Theft",2013,9,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"6","Other Theft",2013,8,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"7","Other Theft",2013,9,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"8","Other Theft",2013,4,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"9","Other Theft",2013,3,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"10","Other Theft",2013,11,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"11","Break and Enter Residential/Other",2013,1,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"12","Mischief",2013,6,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"13","Mischief",2013,11,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"14","Mischief",2013,5,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"15","Mischief",2013,1,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"16","Mischief",2013,7,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"17","Theft of Vehicle",2013,11,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"18","Theft of Vehicle",2013,1,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"19","Theft from Vehicle",2013,2,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"20","Theft from Vehicle",2013,2,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"21","Break and Enter Commercial",2013,6,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"22","Break and Enter Commercial",2013,11,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"23","Break and Enter Commercial",2013,7,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"24","Break and Enter Commercial",2013,11,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"25","Break and Enter Commercial",2013,9,"1000"," ALBERNI ST","West End","1000  ALBERNI ST, Vancouver, BC",49.2839891,-123.1217046
"26","Theft from Vehicle",2013,7,"1000"," BALFOUR AVE","Shaughnessy","1000  BALFOUR AVE, Vancouver, BC",49.2516839,-123.1274528
"27","Theft from Vehicle",2013,2,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"28","Theft from Vehicle",2013,5,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"29","Other Theft",2013,5,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"30","Other Theft",2013,9,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"31","Other Theft",2013,9,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"32","Break and Enter Residential/Other",2013,9,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"33","Mischief",2013,3,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"34","Mischief",2013,4,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"35","Break and Enter Commercial",2013,4,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"36","Theft from Vehicle",2013,5,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"37","Theft from Vehicle",2013,6,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"38","Theft from Vehicle",2013,4,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"39","Theft from Vehicle",2013,11,"1000"," BARCLAY ST","West End","1000  BARCLAY ST, Vancouver, BC",49.2818555,-123.1250083
"40","Theft from Vehicle",2013,2,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"41","Theft from Vehicle",2013,2,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"42","Theft from Vehicle",2013,3,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"43","Theft from Vehicle",2013,3,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"44","Theft from Vehicle",2013,4,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"45","Theft from Vehicle",2013,7,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"46","Other Theft",2013,3,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"47","Other Theft",2013,2,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"48","Other Theft",2013,6,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"49","Other Theft",2013,12,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"50","Other Theft",2013,4,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"51","Other Theft",2013,3,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"52","Other Theft",2013,8,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"53","Other Theft",2013,7,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"54","Other Theft",2013,6,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"55","Other Theft",2013,6,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"56","Other Theft",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"57","Other Theft",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"58","Other Theft",2013,1,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"59","Other Theft",2013,10,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"60","Other Theft",2013,9,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"61","Other Theft",2013,9,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"62","Other Theft",2013,8,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"63","Other Theft",2013,7,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"64","Other Theft",2013,6,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"65","Other Theft",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"66","Other Theft",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"67","Other Theft",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"68","Other Theft",2013,3,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"69","Other Theft",2013,3,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"70","Other Theft",2013,2,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"71","Break and Enter Residential/Other",2013,12,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"72","Theft from Vehicle",2013,1,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"73","Theft from Vehicle",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"74","Theft from Vehicle",2013,6,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"75","Theft from Vehicle",2013,6,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"76","Theft from Vehicle",2013,8,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"77","Theft from Vehicle",2013,10,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"78","Theft from Vehicle",2013,10,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"79","Theft from Vehicle",2013,10,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"80","Theft from Vehicle",2013,2,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"81","Mischief",2013,8,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"82","Mischief",2013,3,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"83","Mischief",2013,12,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"84","Mischief",2013,5,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
